 PA ;     CONTA        ;      OCG      ;      SAP      ;   DIFERENCA                 
  11;1612010 131       ; 14.013.864,91 ; 14.006.768,50 ;      7.096,41               
  11;1612010 133       ;  1.677.618,87 ;  1.670.375,49 ;      7.243,38               
  11;1612010 134       ;  1.004.937,98 ;  1.007.293,33 ;      2.355,35-              
  11;1612010 135       ;    248.820,05 ;    248.797,85 ;         22,20               
  11;1612010 136       ;    632.556,12 ;    631.483,77 ;      1.072,35               
  11;1612010 137       ;    149.784,62 ;    151.767,20 ;      1.982,58-              
  11;1612010 138       ;    112.620,87 ;    111.257,40 ;      1.363,47               
  11;1612040 003       ;  3.067.122,06 ;  3.067.816,22 ;        694,16-              
  11;1612040 035       ;    209.035,73 ;    209.035,73 ;          0,00               
  11;1612040 038       ;  3.847.053,11 ;  3.847.124,08 ;         70,97-              
  11;1612040 039       ;  3.356.649,70 ;  3.356.326,65 ;        323,05               
  11;1612099 025       ;     43.529,62 ;     43.529,62 ;          0,00               
  11;1612099 174       ;    481.316,62 ;    481.316,62 ;          0,00               
  11;  SUBTOTAIS       ; 28.844.910,26 ; 28.832.892,46 ;     12.017,80               
  11;1612010 987       ;  5.941.646,99 ;  5.941.478,65 ;        168,34               
  11;1612010 988       ;    164.821,40 ;    164.821,40 ;          0,00               
  11;1612010 989       ;     23.823,46 ;     23.823,46 ;          0,00               
  11;1612010 990       ;    181.622,16 ;    181.622,16 ;          0,00               
  11;1612010 991       ;     11.340,44 ;     11.340,44 ;          0,00               
  11;1612010 992       ;      2.088,01 ;      2.088,01 ;          0,00               
  11;1612010 995       ;    629.894,57 ;    629.803,19 ;         91,38               
  11;1612010 996       ;  1.055.739,23 ;  1.055.504,13 ;        235,10               
  11;1612040 980       ;    610.835,39 ;    610.835,39 ;          0,00               
  11;1612040 981       ;     15.824,50 ;     15.824,50 ;          0,00               
  11;1612040 982       ;    569.921,90 ;    569.921,90 ;          0,00               
  11;1612040 999       ;    865.583,97 ;    865.583,97 ;          0,00               
  11;1612099 961       ;    214.815,01 ;    214.815,01 ;          0,00               
  11;1612099 999       ;     19.028,05 ;     19.028,05 ;          0,00               
  11;  SUBTOTAIS       ; 10.306.985,08 ; 10.306.490,26 ;        494,82               
  11;     TOTAIS       ; 18.537.925,18 ; 18.526.402,20 ;     11.522,98               
                                                                                     
  13;1612010 131       ; 35.149.995,07 ; 35.153.124,20 ;      3.129,13-              
  13;1612010 133       ;    704.798,66 ;    704.882,10 ;         83,44-              
